swinging_strike,1,1,0.439,3.391,3.69,1.7
ball,1,2,1.034,1.151,3.69,1.7
ball,2,2,-1.198,2.407,3.69,1.7
ball,3,2,-1.246,2.225,3.69,1.7
swinging_strike,0,0,-1.157,2.56,3.7,1.71
ball,0,1,-1.813,2.232,3.73,1.82
swinging_strike,1,1,-0.344,3.47,3.7,1.71
foul,1,2,-0.392,2.449,3.7,1.71
called_strike,1,2,0.431,2.865,3.78,1.84
foul,0,0,-0.817,2.532,3.7,1.71
ball,0,1,-1.717,2.597,3.79,1.88
ball,1,1,0.298,3.463,3.7,1.73
ball,2,1,-0.96,1.553,3.76,1.74
foul,3,1,-1.175,3.048,3.7,1.71
foul,3,2,-0.103,2.523,3.7,1.71
ball,3,2,1.348,2.555,3.75,1.86
ball,0,0,-0.639,0.889,3.79,1.88
called_strike,1,0,-0.703,1.474,3.7,1.72
ball,1,1,0.579,3.063,3.57,1.63
ball,2,1,-0.718,1.016,3.73,1.82
hit_into_play,3,1,0.491,2.232,3.7,1.71
ball,0,0,-0.935,1.534,3.7,1.75
ball,1,0,-0.066,0.227,3.58,1.72
ball,2,0,1.701,1.095,3.64,1.75
called_strike,3,0,-0.879,2.496,3.7,1.83
ball,3,1,-1.5,2.638,3.69,1.83
foul,0,0,0.479,2.271,3.71,1.7
ball,0,1,0.106,4.697,3.74,1.78
ball,1,1,-1.262,2.413,3.74,1.75
hit_into_play_score,2,1,0.113,2.474,3.71,1.7
ball,0,0,-0.587,0.54,3.57,1.67
foul,1,0,0.471,2.664,3.71,1.7
ball,1,1,-1.022,2.003,3.81,1.75
ball,2,1,0.114,3.837,3.76,1.77
hit_into_play,3,1,0.322,3.325,3.71,1.7
foul,0,0,0.002,2.942,3.71,1.7
hit_into_play_no_out,0,1,-0.472,2.489,3.71,1.7
ball,0,0,-1.167,4.243,3.77,1.66
ball,1,0,-1.165,2.103,3.82,1.7
called_strike,2,0,-0.986,2.113,3.71,1.7
foul,2,1,-0.695,3.074,3.71,1.7
foul,2,2,-0.157,2.829,3.71,1.7
ball,2,2,-1.074,2.25,3.8,1.69
ball,3,2,-1.202,2.61,3.72,1.74
ball,0,0,-1.411,2.549,3.75,1.72
ball,1,0,-1.608,3.058,3.75,1.72
called_strike,2,0,0.133,1.524,3.71,1.72
foul,2,1,-0.047,2.747,3.71,1.72
ball,2,2,0.145,4.251,3.81,1.84
foul,3,2,0.703,2.494,3.71,1.72
ball,3,2,-1.977,3.031,3.66,1.72
ball,0,0,-1.323,2.74,3.71,1.72
ball,1,0,0.443,0.796,3.66,1.72
ball,2,0,-1.237,2.382,3.71,1.72
ball,3,0,-1.336,2.092,3.71,1.72
called_strike,0,0,-0.432,1.69,3.9,1.72
ball,0,1,0.319,0.321,3.82,1.72
foul,1,1,0.23,2.211,3.71,1.72
ball,1,2,-0.683,1.369,3.71,1.72
hit_into_play,2,2,-0.004,2.283,3.71,1.72
ball,0,0,-0.103,1.423,3.77,1.71
swinging_strike,1,0,-0.135,2.498,3.71,1.72
called_strike,1,1,-0.612,1.565,3.78,1.68
blocked_ball,1,2,-1.365,-0.362,3.52,1.72
ball,2,2,1.012,1.299,3.71,1.72
hit_into_play,3,2,0.189,1.601,3.71,1.72
ball,0,0,1.656,1.597,3.66,1.72
swinging_strike_blocked,1,0,0.216,0.363,3.71,1.72
ball,1,1,-1.047,3.496,3.71,1.72
called_strike,2,1,-0.831,2.341,3.71,1.72
called_strike,2,2,0.641,2.666,3.71,1.72
ball,0,0,0.946,3.584,3.72,1.72
foul,1,0,-0.521,2.641,3.72,1.72
foul_tip,1,1,0.447,1.83,3.72,1.72
ball,1,2,1.827,2.677,3.72,1.72
hit_into_play_no_out,2,2,0.326,2.527,3.72,1.72
ball,0,0,-0.878,3.199,3.72,1.72
hit_into_play_no_out,1,0,-0.69,2.689,3.72,1.72
hit_into_play,0,0,0.558,2.942,3.72,1.72
swinging_strike,0,0,0.009,3.313,3.72,1.72
ball,0,1,-0.925,1.825,3.72,1.72
called_strike,1,1,-0.613,2.049,3.72,1.72
swinging_strike,1,2,-0.062,1.925,3.72,1.72
hit_into_play,0,0,-0.074,3.094,3.71,1.72
called_strike,0,0,0.073,1.797,3.52,1.66
called_strike,0,1,-0.893,1.764,3.6,1.74
ball,0,2,1.029,2.709,3.75,1.85
called_strike,1,2,0.663,2.254,3.68,1.9
hit_into_play_no_out,0,0,0.056,2.828,3.71,1.72
hit_into_play_score,0,0,0.726,1.705,3.71,1.72
ball,0,0,0.015,1.146,3.77,1.91
called_strike,1,0,-0.045,2.092,3.72,1.86
ball,1,1,-0.899,2.927,3.72,1.86
ball,2,1,0.211,0.892,3.75,1.8
ball,3,1,1.252,2.249,3.56,1.62
ball,0,0,-0.508,4.126,3.76,1.82
hit_into_play,1,0,-0.61,3.054,3.71,1.72
ball,0,0,0.766,3.367,3.76,1.72
swinging_strike,1,0,0.069,3.627,3.71,1.72
ball,1,1,-1.586,2.948,3.71,1.72
hit_into_play_no_out,2,1,0.072,3.105,3.71,1.72
blocked_ball,0,0,-0.094,0.187,3.71,1.72
ball,1,0,-0.905,1.554,3.71,1.72
ball,2,0,-1.031,1.596,3.71,1.72
foul,3,0,-0.646,3.36,3.71,1.72
ball,3,1,0.759,1.872,3.71,1.72
foul,0,0,-0.48,2.338,3.71,1.72
hit_into_play_score,0,1,0.206,2.324,3.71,1.72
hit_into_play,0,0,-0.674,2.237,3.71,1.72
called_strike,0,0,-0.287,2.502,3.71,1.72
ball,0,1,1.441,1.634,3.71,1.72
swinging_strike,1,1,-1.051,1.892,3.71,1.72
ball,1,2,-1.553,1.775,3.71,1.72
